location,movie,year,lat,lon
Kyiv Ukraine,10 sposobov ,2013,50.4500644,30.5241037
Kiev Ukraine,Kholostyak ,2013,50.4500644,30.5241037
Odessa Ukraine,Kholostyak ,2013,46.4852419,30.7433894
Slavutych Ukraine,Motylki ,2013,51.5201397,30.7562301
Kiev Ukraine,Motylki ,2013,50.4500644,30.5241037
Kiev Ukraine,Nyukhach ,2013,50.4500644,30.5241037
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Lviv Ukraine,Optimus Gang ,2013,49.841952,24.0315921
Kyiv Ukraine,Optimus Gang ,2013,50.4500644,30.5241037
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Vinnytsia Ukraine,Vedro ,2013,49.2320162,28.467975
Kyiv Ukraine,Vedro ,2013,50.4500644,30.5241037
Vinnytsia Ukraine,Vedro ,2013,49.2320162,28.467975
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Kyiv Ukraine,Vedro ,2013,50.4500644,30.5241037
Donetsk National University Donetsk Ukraine,Vedro ,2013,48.00503605,37.7973822509983
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Vinnytsia Ukraine,Vedro ,2013,49.2320162,28.467975
Donetsk National University Vinnytsia Ukraine,Vedro ,2013,49.2239806,28.4270645
Zarvantsi Vinnytsia Oblast Ukraine,Vedro ,2013,49.254169,28.388819
Lviv Ukraine,Vedro ,2013,49.841952,24.0315921
Kyiv Ukraine,Vedro ,2013,50.4500644,30.5241037
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Vinnytsia Ukraine,Vedro ,2013,49.2320162,28.467975
Kyiv Ukraine,Vedro ,2013,50.4500644,30.5241037
Khreshchatyk Kyiv Ukraine,Vedro ,2013,50.4478094,30.5287584
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Donetsk Ukraine,Vedro ,2013,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,Vedro ,2013,48.00503605,37.7973822509983
Kiev Ukraine,Worldvision Song Contest ,2013,50.4500644,30.5241037
Lugansk Ukraine,A Man Scorned ,2013,48.5863123,39.3441392384396
Odessa Ukraine,Along the Way ,2013,46.4852419,30.7433894
Kiev Ukraine,Delirium ,2013,50.4500644,30.5241037
Kharkiv Ukraine,DepeshMod ,2013,49.99142545,36.2722660718121
Donetsk Ukraine,Donetsk Meat Factory ,2013,48.0158753,37.8013407
Kiev Ukraine,Dovzhenko. Ukrainian Homer of Cinema ,2013,50.4500644,30.5241037
Donetsk Ukraine,Est' mir i po etu storonu monitora ,2013,48.0158753,37.8013407
Kiev Ukraine,F 63.9 Bolezn lyubvi ,2013,50.4500644,30.5241037
Ukraine,Forest Shine ,2013,49.4871968,31.2718321
Odessa Ukraine,Furchi_ O Druzhe. Odessa v Balgarskoto Duhovno Vazrazhdane ,2013,46.4852419,30.7433894
Donetsk Ukraine,Gruppa MV-A10 ,2013,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,Gruppa MV-A10 ,2013,48.00503605,37.7973822509983
Ukraine,Hunting for the Icon ,2013,49.4871968,31.2718321
Donetsk Ukraine,Identyfikatsiya Porna ,2013,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,Identyfikatsiya Porna ,2013,48.00503605,37.7973822509983
Kiev Ukraine,Invano mi odiano: racconto sui cristiani LGBT ,2013,50.4500644,30.5241037
Krasnoilsk Storozhynets Raion Chernivtsi Oblast Ukraine,Krasna Malanka ,2013,48.0186954,25.6009089
Lviv Ukraine,Kredens ,2013,49.841952,24.0315921
Ukraine,Le jour du mineur ,2013,49.4871968,31.2718321
Donetsk Ukraine,Lenin v 2012 godu ,2013,48.0158753,37.8013407
Lenina Square Donetsk Ukraine,Lenin v 2012 godu ,2013,47.7953866,38.480405
Uzhgorod Ukraine,Loli Kali Shuba ,2013,48.6223502,22.3021255
Ukraine,Lombard ,2013,49.4871968,31.2718321
Ukraine,Lost Town ,2013,49.4871968,31.2718321
Ukraine,Mademoiselle Zhivago ,2013,49.4871968,31.2718321
Lviv Ukraine,Merak Of Im Sakinim ,2013,49.841952,24.0315921
Odessa Ukraine,Moya rusalka_ moya Lorelyay ,2013,46.4852419,30.7433894
Ukraine,Moya rusalka_ moya Lorelyay ,2013,49.4871968,31.2718321
Ukraine,Mbius ,2013,49.4871968,31.2718321
Kiev Ukraine,Mbius ,2013,50.4500644,30.5241037
Ukraine,No le digas a la Mama que me he ido a Mongolia en Moto ,2013,49.4871968,31.2718321
Kiev Ukraine,Okean Elzy's Shoot ,2013,50.4500644,30.5241037
Ukraine,Once My Mother ,2013,49.4871968,31.2718321
Lviv Ukraine,Once My Mother ,2013,49.841952,24.0315921
Ivano-Frankivsk Ukraine,Once My Mother ,2013,48.9225224,24.7103188
Lyubotin Ukraine,Open Access ,2013,49.9413783,35.9271539
Kiev Ukraine,Open Access ,2013,50.4500644,30.5241037
Romodan Ukraine,Open Access ,2013,49.9910359,33.3264222
Panasivka Ukraine,Open Access ,2013,48.9826745,23.3943115
Chernobyl Ukraine,Pandora's Promise ,2013,51.2705259,30.2194322
Ukraine,Paradzhanov ,2013,49.4871968,31.2718321
Vinnytsia Ukraine,Penalty of Justice ,2013,49.2320162,28.467975
Kiev Ukraine,Ra Mokhda Kievshi ,2013,50.4500644,30.5241037
Kiev Ukraine,Sev beni ,2013,50.4500644,30.5241037
Crimea Ukraine,Sokrovishcha O.K. ,2013,50.4505946,30.5214288
Lviv Ukraine,Once My Mother ,2013,49.841952,24.0315921
Ivano-Frankivsk Ukraine,Once My Mother ,2013,48.9225224,24.7103188
Lyubotin Ukraine,Open Access ,2013,49.9413783,35.9271539
Kiev Ukraine,Open Access ,2013,50.4500644,30.5241037
Romodan Ukraine,Open Access ,2013,49.9910359,33.3264222
Panasivka Ukraine,Open Access ,2013,48.9826745,23.3943115
Chernobyl Ukraine,Pandora's Promise ,2013,51.2705259,30.2194322
Ukraine,Paradzhanov ,2013,49.4871968,31.2718321
Vinnytsia Ukraine,Penalty of Justice ,2013,49.2320162,28.467975
Kiev Ukraine,Ra Mokhda Kievshi ,2013,50.4500644,30.5241037
Kiev Ukraine,Sev beni ,2013,50.4500644,30.5241037
Crimea Ukraine,Sokrovishcha O.K. ,2013,50.4505946,30.5214288
Kiev Ukraine,Summer Fall ,2013,50.4500644,30.5241037
Kiev Ukraine,Synevir ,2013,50.4500644,30.5241037
Kiev Ukraine,Summer Fall ,2013,50.4500644,30.5241037
Kiev Ukraine,Synevir ,2013,50.4500644,30.5241037
Odessa Ukraine,The Portrait ,2013,46.4852419,30.7433894
Ukraine,The Republic of Wonderland ,2013,49.4871968,31.2718321
Kiev Ukraine,The Saratov Approach ,2013,50.4500644,30.5241037
Ukraine,Tini nezabutykh predkiv. Tayemnytsi molfara ,2013,49.4871968,31.2718321
Ukraine,Trollifnnid ,2013,49.4871968,31.2718321
Donetsk Ukraine,Twenty Years of Boredom ,2013,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,Twenty Years of Boredom ,2013,48.00503605,37.7973822509983
Ukraine,Ukraine Is Not a Brothel ,2013,49.4871968,31.2718321
Pripyat Ukraine,Undo infinito ,2013,51.4010863,30.0663623
Odessa Ukraine,Voyna Printsessy ,2013,46.4852419,30.7433894
Ukraine,Yushka ,2013,49.4871968,31.2718321
Kiev Ukraine,Zelena Kofta ,2013,50.4500644,30.5241037
